Product name,Price,Ratings,No of Ratings,RAM,ROM,Display(cm),cameraQ(MP),Label
Realme 7i ,11999,4.3,136821,4,64,16.51,64,0.871377074532573
Realme 7i ,11999,4.3,136821,4,64,16.51,64,0.902759108467566
POCO M2 ,10999,4.3,155578,6,64,16.59,13,0.830398914179477
Samsung Galaxy F41 ,17999,4.3,126571,6,128,16.26,64,0.815260146760285
Redmi 9i ,8299,4.3,86456,4,64,16.59,13,0.957557498514415
Realme 6 ,14999,4.4,116223,6,64,16.51,64,0.983287396363489
Realme 7i ,12999,4.3,136821,4,128,16.51,64,0.898736166559264
Samsung Galaxy A71 ,29499,4.4,4209,8,128,17.02,64,0.884257297533125
Realme C15 Qualcomm Edition ,10999,4.3,14880,4,64,16.56,13,0.867074493638762
Realme C15 Qualcomm Edition ,10999,4.3,14880,4,64,16.56,13,0.932068462764909
Realme C11 ,7499,4.4,312366,2,32,16.51,13,0.958134661049545
Samsung Galaxy A31 ,19999,4.3,6247,6,128,16.26,48,0.877571197926308
Realme C11 ,7499,4.4,312366,2,32,16.51,13,0.876680793726429
POCO M2 ,10999,4.3,155578,6,64,16.59,13,0.84170377774238
Redmi 9i ,8299,4.3,86456,4,64,16.59,13,0.865270350372862
Samsung Galaxy A31 ,19999,4.3,6247,6,128,16.26,48,0.904448475622024
POCO C3 ,7999,4.3,56147,3,32,16.59,13,0.947212800431604
Infinix Hot 9 ,8999,4.4,88233,4,64,16.76,13,0.853792777980482
Infinix Hot 9 ,8999,4.4,88233,4,64,16.76,13,0.925194453173296
Samsung Galaxy A71 ,29499,4.4,4209,8,128,17.02,64,0.855975370723589
Infinix Hot 9 ,8999,4.4,88233,4,64,16.76,13,0.964063996780182
POCO C3 ,7999,4.3,56147,3,32,16.59,13,0.854529425664293
Infinix Smart 4 Plus ,7999,4.4,89852,3,32,17.32,13,0.888423775883193
Samsung Galaxy A31 ,19999,4.3,6247,6,128,16.26,48,0.837246801806867
Infinix Smart 4 Plus ,7999,4.4,89852,3,32,17.32,13,0.981947318725864
POCO C3 ,8999,4.3,31410,4,64,16.59,13,0.912022151433422
Redmi 9i ,8299,4.3,86456,4,64,16.59,13,0.916395378686142
Samsung Galaxy A51 ,22999,4.3,7200,6,128,16.51,48,0.892231257070523
POCO C3 ,8999,4.3,31410,4,64,16.59,13,0.831543847078959
Realme 6 ,14999,4.4,116222,6,64,16.51,64,0.816878411232919
POCO C3 ,8999,4.3,31410,4,64,16.59,13,0.982229882849854
Samsung Galaxy F41 ,17999,4.3,126573,6,128,16.26,64,0.812701717747221
Infinix Smart 4 Plus ,7999,4.4,89852,3,32,17.32,13,0.835940671326699
Infinix Smart 4 Plus ,7999,4.4,89852,3,32,17.32,13,0.833200968368408
Infinix Smart 4 Plus ,7999,4.4,89852,3,32,17.32,13,0.848137303226686
Samsung Galaxy S20 FE ,49999,4.3,59,8,128,16.51,12,0.936330081085267
POCO M2 ,12499,4.3,155850,6,128,16.59,13,0.914245036177522
Realme C12 ,8999,4.4,166861,3,32,16.56,13,0.842227500038557
Realme C12 ,8999,4.4,166861,3,32,16.56,13,0.870084782958133
Samsung Galaxy S20 FE ,49999,4.3,59,8,128,16.51,12,0.866256472928643
Infinix Hot 9 Pro ,9999,4.4,66939,4,64,16.76,48,0.989163761621734
Realme C3 ,8999,4.4,114828,3,32,16.56,12,0.936350582899646
Realme C3 ,8999,4.4,114828,3,32,16.56,12,0.888578344209124
Samsung Galaxy S20 FE ,49999,4.3,59,8,128,16.51,12,0.934960921053748
POCO M2 ,10999,4.3,155580,6,64,16.59,13,0.853880021576571
Redmi 9i ,9299,4.3,86456,4,128,16.59,13,0.871966239788242
Gionee Max ,5999,4.1,21121,2,32,15.49,13,0.802111113724197
Samsung Galaxy S20 FE ,49999,4.3,59,8,128,16.51,12,0.989242116066813
Nokia 105 SS 2020,0,0,0,0,0,0,0,-1
Realme Narzo 20 ,10499,4.3,148211,4,64,16.56,48,0.966462621953436
Realme Narzo 20 ,10499,4.3,148282,4,64,16.56,48,0.963500839332932
POCO M2 ,12499,4.3,155580,6,128,16.59,13,0.950453330494404
Samsung Galaxy F41 ,17999,4.3,126567,6,128,16.26,64,0.910363130607483
Tecno Spark Go 2020 ,6499,4.3,29109,2,32,16.56,13,0.9000055877016
POCO M2 Pro ,14999,4.4,155769,6,64,16.94,48,0.80700682760396
Realme 7 ,14999,4.3,140588,6,64,16.51,64,0.857542514023535
Motorola E7 Plus ,9499,4.2,21708,4,64,16.51,48,0.994177230133241
Motorola One Fusion+ ,17499,4.4,69402,6,128,16.51,64,0.853063189396352
Infinix Hot 9 Pro ,9999,4.4,66939,4,64,16.76,48,0.85428728653044
POCO M2 Pro ,14999,4.4,155769,6,64,16.94,48,0.833549054354492
Redmi 8A Dual ,7499,4.3,19783,2,32,15.8,13,0.92109166519913
Realme Narzo 20A ,8499,4.3,31865,3,32,16.51,12,0.907121092156501
POCO M2 Pro ,14999,4.4,155769,6,64,16.94,48,0.85216014980437
OPPO Reno2 F ,17990,4.4,40676,6,256,16.51,48,0.859590417629748
OPPO A31 ,14990,4.3,11279,6,128,16.51,12,0.969532205652574
OPPO A31 ,14990,4.3,11279,6,128,16.51,12,0.971984719841295
OPPO A31 ,14990,4.3,11279,6,128,16.51,12,0.983129001503078
Lava A1,0,0,0,0,0,0,0,-1
POCO X3 ,16999,4.3,39171,6,64,16.94,64,0.84723697724091
Realme Narzo 20A ,9499,4.4,61688,4,64,16.51,12,0.8032215836245
Realme Narzo 20A ,9499,4.4,61688,4,64,16.51,12,0.802292226557983
Realme Narzo 20A ,8499,4.3,31865,3,32,16.51,12,0.882715560613225
Tecno Spark Power 2 ,9999,4.3,58792,4,64,17.78,16,0.845882921809621
Tecno Spark Power 2 ,9999,4.3,58792,4,64,17.78,16,0.870986036333076
Samsung Galaxy F41 ,17999,4.3,126753,6,128,16.26,64,0.876053202422914
Infinix Smart 4 ,6999,4.4,1253,2,32,17.32,13,0.867580357801165
Infinix Smart 4 ,6999,4.4,1253,2,32,17.32,13,0.844699255667261
POCO C3 ,7999,4.3,56147,3,32,16.59,13,0.982080956017929
Samsung Galaxy F41 ,16999,4.3,126753,6,64,16.26,64,0.900383083798385
Realme 7 ,16999,4.3,36028,8,128,16.51,64,0.978693975932887
Realme 7 ,14999,4.3,140588,6,64,16.51,64,0.806669879401803
POCO M2 Pro ,13999,4.4,94150,4,64,16.94,48,0.908173553452839
Nokia 105 SS 2020,0,0,0,0,0,0,0,-1
